SignalIn:                                L
SignalOut:                               L_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1259-1310
CSI_0201:    41.6800003    
CSI_0203:    41.0299988    
CSI_0205:    41.1399994    
CSI_0207:    43.9599991    
CSI_0209:    38.2299995    
CSI_0211:    43.3600006    
CSI_0213:    37.8699989    
CSI_0215:    35.3199997    
CSI_0217:    35.2999992    
CSI_0219:    35.8499985    
CSI_0221:    28.6000004    
CSI_0223:    29.6299992    
CSI_0301:   0.500000000    
CSI_0302:   0.500000000    
CSI_0303:   0.500000000    
CSI_0304:   0.500000000    
CSI_0305:   0.500000000    
CSI_0306:   0.500000000    
CSI_0307:   0.500000000    
CSI_0308:   0.500000000    
CSI_0309:   0.500000000    
CSI_0310:   0.500000000    
CSI_0311:   0.500000000    
CSI_0312:   0.500000000    
CSI_0313:   0.500000000    
CSI_0314:   0.500000000    
CSI_0315:   0.500000000    
CSI_0316:   0.500000000    
CSI_0317:   0.500000000    
CSI_0318:   0.500000000    
CSI_0319:   0.500000000    
CSI_0320:   0.500000000    
CSI_0321:   0.500000000    
CSI_0322:   0.500000000    
CSI_0323:   0.500000000    
CSI_0324:   0.500000000    
CSI_0401:    36.8100014    
CSI_0402:    40.3300018    
CSI_0403:    38.1100006    
CSI_0404:    40.2999992    
CSI_0405:    36.7599983    
CSI_0406:    38.3600006    
CSI_0407:    40.8600006    
CSI_0408:    40.0000000    
CSI_0409:    39.1500015    
CSI_0410:    38.4599991    
CSI_0411:    38.2299995    
CSI_0412:    38.9599991    
CSI_0413:    34.0400009    
CSI_0414:    35.1399994    
CSI_0415:    33.4000015    
CSI_0416:    35.4500008    
CSI_0417:    33.0400009    
CSI_0418:    33.6699982    
CSI_0419:    34.6399994    
CSI_0420:    30.1599998    
CSI_0421:    24.6499996    
CSI_0422:    28.3700008    
CSI_0423:    25.9699993    
CSI_0424:    26.5100002    
CSI_0501:    48.1199989    
CSI_0502:    47.7900009    
CSI_0503:    54.2999992    
CSI_0504:    52.7500000    
CSI_0505:    52.4199982    
CSI_0506:    56.6100006    
CSI_0507:    54.9199982    
CSI_0508:    52.5299988    
CSI_0509:    49.5999985    
CSI_0510:    50.2000008    
CSI_0511:    52.6699982    
CSI_0512:    46.9599991    
CSI_0513:    46.7000008    
CSI_0514:    46.3699989    
CSI_0515:    46.7000008    
CSI_0516:    46.6599998    
CSI_0517:    46.1699982    
CSI_0518:    44.3199997    
CSI_0519:    44.6199989    
CSI_0520:    44.2799988    
CSI_0521:    39.7799988    
CSI_0522:    38.1599998    
CSI_0523:    37.5800018    
CSI_0524:    40.0099983    
CSI_0601:    40.7900009    
CSI_0602:    40.4199982    
CSI_0603:    46.7099991    
CSI_0604:    45.6500015    
CSI_0605:    41.0499992    
CSI_0606:    44.4399986    
CSI_0607:    43.8499985    
CSI_0608:    43.7000008    
CSI_0609:    39.6899986    
CSI_0610:    39.7900009    
CSI_0611:    40.2900009    
CSI_0612:    42.6699982    
CSI_0613:    36.0800018    
CSI_0614:    39.4500008    
CSI_0615:    37.1300011    
CSI_0616:    33.8400002    
CSI_0617:    39.4399986    
CSI_0618:    37.4300003    
CSI_0619:    37.3400002    
CSI_0620:    37.2599983    
CSI_0621:    29.5400009    
CSI_0622:    29.9799995    
CSI_0623:    31.1599998    
CSI_0624:    31.1900005    
CSI_0701:    40.4500008    
CSI_0702:    47.1899986    
CSI_0703:    46.5499992    
CSI_0704:    47.5499992    
CSI_0705:    47.0499992    
CSI_0706:    45.7799988    
CSI_0707:    45.4000015    
CSI_0708:    44.4300003    
CSI_0709:    45.3100014    
CSI_0710:    46.1699982    
CSI_0711:    40.4700012    
CSI_0712:    43.7299995    
CSI_0713:    40.3600006    
CSI_0714:    41.8300018    
CSI_0715:    39.8899994    
CSI_0716:    39.0499992    
CSI_0717:    42.6699982    
CSI_0718:    41.4199982    
CSI_0719:    36.9199982    
CSI_0720:    36.9399986    
CSI_0721:    37.9599991    
CSI_0722:    34.5299988    
CSI_0723:    31.9899998    
CSI_0724:    32.9000015    
CSI_0801:    35.4000015    
CSI_0802:    37.8800011    
CSI_0803:    42.4599991    
CSI_0804:    42.1500015    
CSI_0805:    40.6599998    
CSI_0806:    39.2700005    
CSI_0807:    40.6800003    
CSI_0808:    41.9300003    
CSI_0809:    38.5699997    
CSI_0810:    38.4300003    
CSI_0811:    38.5200005    
CSI_0812:    39.4900017    
CSI_0813:    34.3800011    
CSI_0814:    36.3699989    
CSI_0815:    34.2099991    
CSI_0816:    37.8300018    
CSI_0817:    35.4000015    
CSI_0818:    35.1899986    
CSI_0819:    32.0200005    
CSI_0820:    33.3899994    
CSI_0821:    29.9899998    
CSI_0822:    25.8400002    
CSI_0823:    28.9699993    
CSI_0824:    27.1200008    
CSI_0901:    33.6599998    
CSI_0902:    37.6899986    
CSI_0903:    39.6100006    
CSI_0904:    39.1800003    
CSI_0905:    38.4500008    
CSI_0906:    37.5499992    
CSI_0907:    40.4300003    
CSI_0908:    41.2799988    
CSI_0909:    38.9300003    
CSI_0910:    42.2000008    
CSI_0911:    38.3499985    
CSI_0912:    36.5600014    
CSI_0913:    33.2599983    
CSI_0914:    36.9399986    
CSI_0915:    35.9599991    
CSI_0916:    32.7200012    
CSI_0917:    33.3699989    
CSI_0918:    31.0699997    
CSI_0919:    30.5799999    
CSI_0920:    31.5499992    
CSI_0921:    28.6200008    
CSI_0922:    25.7600002    
CSI_0923:    24.1599998    
CSI_0924:    25.8199997    
CSI_1001:    36.8800011    
CSI_1002:    46.2400017    
CSI_1003:    43.5699997    
CSI_1004:    41.9199982    
CSI_1005:    40.9199982    
CSI_1006:    46.1199989    
CSI_1007:    42.2400017    
CSI_1008:    43.2700005    
CSI_1009:    41.6699982    
CSI_1010:    42.5200005    
CSI_1011:    44.2400017    
CSI_1012:    42.5299988    
CSI_1013:    40.3300018    
CSI_1014:    36.8100014    
CSI_1015:    40.7299995    
CSI_1016:    37.6100006    
CSI_1017:    38.5699997    
CSI_1018:    36.0299988    
CSI_1019:    38.8600006    
CSI_1020:    33.2500000    
CSI_1021:    30.9799995    
CSI_1022:    32.3199997    
CSI_1023:    29.2199993    
CSI_1024:    31.0100002    
CSI_1101:    38.1800003    
CSI_1102:    45.1300011    
CSI_1103:    48.5699997    
CSI_1104:    47.4700012    
CSI_1105:    40.9700012    
CSI_1106:    44.1800003    
CSI_1107:    45.3899994    
CSI_1108:    45.5600014    
CSI_1109:    40.3800011    
CSI_1110:    44.3199997    
CSI_1111:    41.1399994    
CSI_1112:    43.7099991    
CSI_1113:    36.3899994    
CSI_1114:    37.9500008    
CSI_1115:    38.6399994    
CSI_1116:    35.8800011    
CSI_1117:    36.9799995    
CSI_1118:    39.0499992    
CSI_1119:    39.5299988    
CSI_1120:    35.5499992    
CSI_1121:    34.6199989    
CSI_1122:    32.4700012    
CSI_1123:    29.8899994    
CSI_1124:    31.0300007    
CSI_1201:    43.5999985    
