SignalIn:                                R
SignalOut:                               R_PedCor
CalibType:                               PedestalCorrection
CalibOptions:                            func=x-[0],min=0,max=4095
RunList:                                 1372-1489
CSI_0201:    20.0100002    
CSI_0203:    19.2700005    
CSI_0205:    20.9099998    
CSI_0207:    21.5599995    
CSI_0209:    19.2600002    
CSI_0211:    20.0300007    
CSI_0213:    15.0000000    
CSI_0215:    15.6000004    
CSI_0217:    14.8199997    
CSI_0219:    13.8100004    
CSI_0221:    8.05000019    
CSI_0223:    7.88000011    
CSI_0301:    16.0100002    
CSI_0302:    20.9899998    
CSI_0303:    22.3899994    
CSI_0304:    22.0100002    
CSI_0305:    20.5000000    
CSI_0306:    21.0799999    
CSI_0307:    23.0000000    
CSI_0308:    22.9899998    
CSI_0309:    19.9099998    
CSI_0310:    21.8400002    
CSI_0311:    21.0000000    
CSI_0312:    19.7999992    
CSI_0313:    15.1199999    
CSI_0314:    16.5200005    
CSI_0315:    15.5500002    
CSI_0316:    14.0000000    
CSI_0317:    16.0900002    
CSI_0318:    16.0100002    
CSI_0319:    15.5200005    
CSI_0320:    16.0100002    
CSI_0321:    10.4200001    
CSI_0322:    9.00000000    
CSI_0323:    10.0200005    
CSI_0324:    10.2799997    
CSI_0401:    24.0799999    
CSI_0402:    26.8799992    
CSI_0403:    26.0900002    
CSI_0404:    28.1100006    
CSI_0405:    25.5799999    
CSI_0406:    28.9799995    
CSI_0407:    29.0100002    
CSI_0408:    27.4200001    
CSI_0409:    28.0000000    
CSI_0410:    28.3999996    
CSI_0411:    28.1900005    
CSI_0412:    29.0599995    
CSI_0413:    24.7700005    
CSI_0414:    23.9699993    
CSI_0415:    23.0000000    
CSI_0416:    25.7399998    
CSI_0417:    22.0100002    
CSI_0418:    21.5400009    
CSI_0419:    22.2000008    
CSI_0420:    19.9500008    
CSI_0421:    15.0000000    
CSI_0422:    17.1200008    
CSI_0423:    15.0000000    
CSI_0424:    16.7999992    
CSI_0501:    23.0000000    
CSI_0502:    26.9899998    
CSI_0503:    28.9699993    
CSI_0504:    26.9599991    
CSI_0505:    27.0300007    
CSI_0506:    30.4200001    
CSI_0507:    29.0200005    
CSI_0508:    28.9099998    
CSI_0509:    26.0599995    
CSI_0510:    26.9899998    
CSI_0511:    28.8099995    
CSI_0512:    23.0000000    
CSI_0513:    22.0100002    
CSI_0514:    21.3400002    
CSI_0515:    24.0000000    
CSI_0516:    22.0000000    
CSI_0517:    22.0000000    
CSI_0518:    20.0100002    
CSI_0519:    20.9500008    
CSI_0520:    19.8700008    
CSI_0521:    17.0000000    
CSI_0522:    14.8100004    
CSI_0523:    14.0500002    
CSI_0524:    15.9200001    
CSI_0601:    26.9799995    
CSI_0602:    28.0000000    
CSI_0603:    33.2500000    
CSI_0604:    32.0000000    
CSI_0605:    27.9500008    
CSI_0606:    31.0000000    
CSI_0607:    31.1299992    
CSI_0608:    29.3799992    
CSI_0609:    27.0200005    
CSI_0610:    28.9799995    
CSI_0611:    29.0000000    
CSI_0612:    29.1599998    
CSI_0613:    24.1800003    
CSI_0614:    25.7299995    
CSI_0615:    24.1100006    
CSI_0616:    21.7500000    
CSI_0617:    24.2000008    
CSI_0618:    23.9899998    
CSI_0619:    22.8700008    
CSI_0620:    22.6399994    
CSI_0621:    18.9300003    
CSI_0622:    18.0000000    
CSI_0623:    18.0100002    
CSI_0624:    17.0300007    
CSI_0701:    23.0000000    
CSI_0702:    30.0100002    
CSI_0703:    30.0900002    
CSI_0704:    30.9899998    
CSI_0705:    30.0200005    
CSI_0706:    29.9200001    
CSI_0707:    29.1200008    
CSI_0708:    27.3299999    
CSI_0709:    28.5799999    
CSI_0710:    29.1299992    
CSI_0711:    25.9099998    
CSI_0712:    27.0300007    
CSI_0713:    23.0100002    
CSI_0714:    25.2800007    
CSI_0715:    23.0000000    
CSI_0716:    22.1299992    
CSI_0717:    25.9099998    
CSI_0718:    23.8099995    
CSI_0719:    21.0000000    
CSI_0720:    20.0000000    
CSI_0721:    22.2600002    
CSI_0722:    18.2099991    
CSI_0723:    17.1000004    
CSI_0724:    17.8899994    
CSI_0801:    25.0100002    
CSI_0802:    27.1599998    
CSI_0803:    30.4500008    
CSI_0804:    31.7600002    
CSI_0805:    29.8500004    
CSI_0806:    28.1100006    
CSI_0807:    28.9500008    
CSI_0808:    31.7299995    
CSI_0809:    27.9200001    
CSI_0810:    28.9699993    
CSI_0811:    28.4099998    
CSI_0812:    33.0000000    
CSI_0813:    25.0000000    
CSI_0814:    25.3500004    
CSI_0815:    22.8899994    
CSI_0816:    24.9200001    
CSI_0817:    22.9400005    
CSI_0818:    24.0100002    
CSI_0819:    21.3700008    
CSI_0820:    22.1100006    
CSI_0821:    18.0000000    
CSI_0822:    15.1099997    
CSI_0823:    17.9599991    
CSI_0824:    18.3199997    
CSI_0901:    26.3199997    
CSI_0902:    28.7800007    
CSI_0903:    31.0100002    
CSI_0904:    31.1100006    
CSI_0905:    30.1000004    
CSI_0906:    30.9300003    
CSI_0907:    31.3500004    
CSI_0908:    31.9799995    
CSI_0909:    31.0000000    
CSI_0910:    33.6899986    
CSI_0911:    30.0599995    
CSI_0912:    29.0300007    
CSI_0913:    26.0499992    
CSI_0914:    26.8299999    
CSI_0915:    27.0000000    
CSI_0916:    25.0000000    
CSI_0917:    24.5900002    
CSI_0918:    23.0300007    
CSI_0919:    23.6900005    
CSI_0920:    23.0599995    
CSI_0921:    21.0000000    
CSI_0922:    20.0000000    
CSI_0923:    17.0000000    
CSI_0924:    18.0900002    
CSI_1001:    24.0000000    
CSI_1002:    33.4900017    
CSI_1003:    32.0000000    
CSI_1004:    31.6800003    
CSI_1005:    31.3099995    
CSI_1006:    33.9900017    
CSI_1007:    32.9900017    
CSI_1008:    31.8899994    
CSI_1009:    29.0000000    
CSI_1010:    31.0000000    
CSI_1011:    32.6699982    
CSI_1012:    30.8500004    
CSI_1013:    26.0000000    
CSI_1014:    24.9699993    
CSI_1015:    28.0599995    
CSI_1016:    23.0300007    
CSI_1017:    27.6599998    
CSI_1018:    25.5799999    
CSI_1019:    26.3299999    
CSI_1020:    23.9699993    
CSI_1021:    17.3600006    
CSI_1022:    18.8400002    
CSI_1023:    17.8299999    
CSI_1024:    19.0200005    
CSI_1101:    22.0400009    
CSI_1102:    28.0300007    
CSI_1103:    31.1499996    
CSI_1104:    30.3199997    
CSI_1105:    24.8899994    
CSI_1106:    29.0300007    
CSI_1107:    29.0400009    
CSI_1108:    29.6800003    
CSI_1109:    25.0000000    
CSI_1110:    28.9899998    
CSI_1111:    25.5000000    
CSI_1112:    28.2700005    
CSI_1113:    21.8199997    
CSI_1114:    22.1900005    
CSI_1115:    22.0000000    
CSI_1116:    19.8899994    
CSI_1117:    19.0000000    
CSI_1118:    21.6599998    
CSI_1119:    21.0000000    
CSI_1120:    17.5799999    
CSI_1121:    16.0000000    
CSI_1122:    14.0400000    
CSI_1123:    13.3800001    
CSI_1124:    13.1499996    
CSI_1201:    26.9799995    
CSI_1202:    32.9799995    
CSI_1203:    32.8600006    
CSI_1204:    34.0099983    
CSI_1205:    28.2299995    
CSI_1206:    36.0600014    
CSI_1207:    32.0000000    
CSI_1208:    30.9200001    
CSI_1209:    29.0000000    
CSI_1210:    33.0099983    
CSI_1211:    33.0000000    
CSI_1212:    31.2000008    
CSI_1213:    24.0300007    
CSI_1214:    24.0000000    
CSI_1215:    28.0100002    
CSI_1216:    26.0599995    
CSI_1217:    26.2299995    
CSI_1218:    28.0400009    
CSI_1219:    24.9300003    
CSI_1220:    27.0000000    
CSI_1221:    21.2000008    
CSI_1222:    20.0200005    
CSI_1223:    20.0000000    
CSI_1224:    16.0000000    
CSI_1301:    24.0100002    
CSI_1304:    31.5799999    
CSI_1307:    30.0000000    
CSI_1310:    28.5200005    
CSI_1313:    28.0000000    
CSI_1316:    30.1200008    
CSI_1319:    30.9599991    
CSI_1322:    30.0000000    
CSI_1302:    27.9899998    
CSI_1305:    30.7999992    
CSI_1308:    29.0000000    
CSI_1311:    29.3099995    
CSI_1314:    26.0000000    
CSI_1317:    25.0000000    
CSI_1320:    26.0000000    
CSI_1323:    24.0000000    
CSI_1303:    22.0000000    
CSI_1306:    24.0000000    
CSI_1309:    24.0100002    
CSI_1312:    24.0000000    
CSI_1315:    16.0000000    
CSI_1318:    16.9599991    
CSI_1321:    18.0000000    
CSI_1324:    16.9799995    
CSI_1401:    15.1499996    
CSI_1403:    19.0000000    
CSI_1405:    19.0200005    
CSI_1407:    20.0000000    
CSI_1409:    17.9899998    
CSI_1411:    17.9799995    
CSI_1413:    18.0400009    
CSI_1415:    17.0100002    
CSI_1402:    16.0000000    
CSI_1404:    20.0000000    
CSI_1406:    20.0100002    
CSI_1408:    21.0000000    
CSI_1410:    14.0000000    
CSI_1412:    16.0000000    
CSI_1414:    16.0000000    
CSI_1416:    14.0000000    
CSI_1501:    16.9899998    
CSI_1503:    16.0000000    
CSI_1505:    15.9799995    
CSI_1507:    15.0000000    
CSI_1509:    10.3299999    
CSI_1511:    11.0000000    
CSI_1513:    10.0000000    
CSI_1515:    9.00000000    
CSI_1502:    28.0100002    
CSI_1504:    32.0000000    
CSI_1506:    34.0000000    
CSI_1508:    30.8899994    
CSI_1510:    31.9200001    
CSI_1512:    32.1199989    
CSI_1514:    34.0000000    
CSI_1516:    34.0000000    
CSI_1601:    32.0000000    
CSI_1602:    35.0000000    
CSI_1603:    34.0400009    
CSI_1604:    33.8899994    
CSI_1605:    29.9099998    
CSI_1606:    31.0100002    
CSI_1607:    30.2999992    
CSI_1608:    28.0000000    
CSI_1701:    27.0000000    
CSI_1702:    30.3999996    
